name,address,property_type,tenure,size,psf,listingID,price,beds,baths,furnishing,floor_level,agent
Reflections at Keppel Bay,"1 Keppel Bay View, 098402 Harbourfront / Telok Blangah, City & South West (D01-08)",Condominium,99-year Leasehold,3500 sqft,S$ 4.51 psf,20188236,"S$ 15,800 / month",4 Bedrooms,null,Fully Furnished,null,Allan Zheng  鄭黎
Hillbrooks,"88 Hillview Avenue, 669590 Dairy Farm / Bukit Panjang / Choa Chu Kang, West (D22-24)",Condominium,Freehold,1170 sqft,S$ 2.39 psf,20130675,"S$ 2,799 / month",3 Bedrooms,null,Partially Furnished,null,Jeremy Lim
Parc Sophia,"8 Adis Road, 229975 Orchard / River Valley, Orchard / Holland (D09-10)",Apartment,Freehold,667 sqft,S$ 4.50 psf,18373933,"S$ 3,000 / month",1 Bedroom,null,Fully Furnished,null,Jane Lai
Vista Residences,"26 Jalan Datoh, 329425 Balestier / Toa Payoh, Balestier / Geylang (D12-14)",Condominium,Freehold,1421 sqft,S$ 3.52 psf,20119227,"S$ 5,000 / month",4 Bedrooms,null,Partially Furnished,null,Axel Ong
Hullet Court,"8 Hullet Road, 229160 Orchard / River Valley, Orchard / Holland (D09-10)",Apartment,Freehold,890 sqft,S$ 5.39 psf,18448655,"S$ 4,800 / month",2 Bedrooms,null,Partially Furnished,null,Jane Lai
QBay Residences,"1 Tampines Street 86, 528583 Pasir Ris / Tampines, Changi / Pasir Ris (D17-18)",Condominium,99-year Leasehold,656 sqft,S$ 2.74 psf,20088671,"S$ 1,800 / month",1 Bedroom,null,Partially Furnished,null,Allan Zheng  鄭黎
157 Yishun Street 11,"157 Yishun Street 11, 760157, Yishun Estate",HDB Apartment,99-year Leasehold,721 sqft,S$ 0.69 psf,20110980,S$ 500 / month,Room Rental,null,Partially Furnished,null,Sarah Goh 吴雪莹
The Mercury,"38 Shanghai Road, 248201 Tanglin / Holland / Bukit Timah, Orchard / Holland (D09-10)",Condominium,Freehold,1044 sqft,S$ 4.31 psf,20133141,"S$ 4,500 / month",3 Bedrooms,null,-,-,Adrian Koh
Southbank,"881 North Bridge Road, 198784 Beach Road / Bugis / Rochor, City & South West (D01-08)",Condominium,99-year Leasehold,1313 sqft,S$ 4.19 psf,20133155,"S$ 5,500 / month",3 Bedrooms,null,-,-,Adrian Koh
13 Marsiling Lane,"13 Marsiling Lane, 730013, Woodlands Estate",HDB Apartment,99-year Leasehold,818 sqft,S$ 1.96 psf,20096022,"S$ 1,600 / month",2 Bedrooms,null,Partially Furnished,null,Eddie Ng
City Square Residences,"8 Kitchener Link, 207226 Farrer Park / Serangoon Rd, City & South West (D01-08)",Condominium,Freehold,840 sqft,S$ 4.17 psf,19891665,"S$ 3,500 / month",2 Bedrooms,null,-,-,Emirly Tan 陈真珠
Hillcrest Villa,"9B Hillcrest Road, 286704 Newton / Novena, Newton / Bt. Timah (D11, 21)",Cluster House,99-year Leasehold,3154 sqft,S$ 2.60 psf,20133341,"S$ 8,200 / month",5 Bedrooms,null,Partially Furnished,-,Adrian Koh
Horizon Towers,"29 Leonie Hill, 239228 Orchard / River Valley, Orchard / Holland (D09-10)",Condominium,99-year Leasehold,2314 sqft,S$ 2.94 psf,20172035,"S$ 6,800 / month",4 Bedrooms,null,Partially Furnished,null,Rain Goh
Viento,"29 Lorong 30 Geylang, 398362 Eunos / Geylang / Paya Lebar, Balestier / Geylang (D12-14)",Condominium,Freehold,452 sqft,S$ 4.20 psf,20169396,"S$ 1,900 / month",1 Bedroom,null,Unfurnished,null,Allan Zheng  鄭黎
Skyline @ Orchard Boulevard,"23 Angullia Park, 239975 Orchard / River Valley, Orchard / Holland (D09-10)",Condominium,Freehold,3100 sqft,S$ 4.35 psf,20175832,"S$ 13,500 / month",4 Bedrooms,null,Partially Furnished,null,Sarah Goh 吴雪莹
Pearl Bank Apartment,"1 Pearl Bank, 169016 Alexandra / Commonwealth, City & South West (D01-08)",Apartment,99-year Leasehold,130 sqft,S$ 7.69 psf,20183718,"S$ 1,000 / month",Room Rental,null,Unfurnished,null,Sarah Goh 吴雪莹
Icon,"10 Gopeng Street, 078878 Chinatown / Tanjong Pagar, City & South West (D01-08)",Apartment,99-year Leasehold,1259 sqft,S$ 5.16 psf,20193085,"S$ 6,500 / month",2 Bedrooms,null,Fully Furnished,null,Catherina Cheong
Scotts Square,"6 Scotts Road, 228209 Orchard / River Valley, Orchard / Holland (D09-10)",Apartment,Freehold,1249 sqft,S$ 6.89 psf,17704186,"S$ 8,600 / month",3 Bedrooms,null,Fully Furnished,null,Sheila Pansy
Pastoral View,"7 Bassein Road, 309837 Newton / Novena, Newton / Bt. Timah (D11, 21)",Apartment,Freehold,1259 sqft,S$ 3.10 psf,20172052,"S$ 3,900 / month",3 Bedrooms,null,Partially Furnished,null,Rain Goh
The Berth by the Cove,"Ocean Drive, 098628 Harbourfront / Telok Blangah, City & South West (D01-08)",Condominium,99-year Leasehold,1200 sqft,S$ 4.00 psf,19824267,"S$ 4,800 / month",2 Bedrooms,null,Fully Furnished,null,Brandon See
